# Time Total_Circulation Enstrophy_Proxy
8.000000e-02 -1.766288e-07 5.126743e-12
1.600000e-01 -6.453823e-07 1.362231e-05
2.400000e-01 -5.228682e-04 2.527214e-04
3.200000e-01 -3.747230e-03 1.421887e-03
4.000000e-01 -8.685751e-03 4.650598e-03
4.800000e-01 -1.897667e-02 1.102099e-02
5.600000e-01 -4.293885e-02 2.104828e-02
6.400000e-01 -7.029559e-02 3.430596e-02
7.200000e-01 -1.213941e-01 4.949028e-02
8.000000e-01 -1.847136e-01 6.468064e-02
8.800000e-01 -2.526069e-01 7.781768e-02
9.600000e-01 -3.253590e-01 8.752856e-02
1.040000e+00 -3.840155e-01 9.294820e-02
1.120000e+00 -4.526750e-01 9.413241e-02
1.200000e+00 -5.216023e-01 9.318384e-02
1.280000e+00 -5.895119e-01 9.183845e-02
1.360000e+00 -6.472351e-01 9.047292e-02
1.440000e+00 -7.106206e-01 8.950537e-02
1.520000e+00 -7.618637e-01 8.875202e-02
1.600000e+00 -8.181266e-01 8.806457e-02
1.680000e+00 -8.740963e-01 8.732906e-02
1.760000e+00 -9.327043e-01 8.654539e-02
1.840000e+00 -9.935236e-01 8.568711e-02
1.920000e+00 -1.057130e+00 8.466226e-02
2.000000e+00 -1.123268e+00 8.357476e-02
2.080000e+00 -1.186218e+00 8.246948e-02
2.160000e+00 -1.251722e+00 8.135739e-02
2.240000e+00 -1.319789e+00 8.031517e-02
2.320000e+00 -1.388963e+00 7.937329e-02
2.400000e+00 -1.457367e+00 7.856441e-02
2.480000e+00 -1.523216e+00 7.785213e-02
2.560000e+00 -1.587773e+00 7.725803e-02
2.640000e+00 -1.652512e+00 7.679579e-02
2.720000e+00 -1.716233e+00 7.648959e-02
2.800000e+00 -1.779366e+00 7.632241e-02
2.880000e+00 -1.840742e+00 7.624193e-02
2.960000e+00 -1.902286e+00 7.623306e-02
3.040000e+00 -1.964356e+00 7.627572e-02
3.120000e+00 -2.026942e+00 7.635695e-02
3.200000e+00 -2.089875e+00 7.646582e-02
3.280000e+00 -2.153048e+00 7.659291e-02
3.360000e+00 -2.215362e+00 7.673577e-02
3.440000e+00 -2.277771e+00 7.688012e-02
3.520000e+00 -2.339968e+00 7.704563e-02
3.600000e+00 -2.400505e+00 7.721501e-02
3.680000e+00 -2.462109e+00 7.737455e-02
3.760000e+00 -2.523559e+00 7.752060e-02
3.840000e+00 -2.585119e+00 7.765231e-02
3.920000e+00 -2.648768e+00 7.774562e-02
4.000000e+00 -2.713462e+00 7.782351e-02
4.080000e+00 -2.779147e+00 7.788860e-02
4.160000e+00 -2.845500e+00 7.794016e-02
4.240000e+00 -2.911230e+00 7.797351e-02
4.320000e+00 -2.977242e+00 7.798975e-02
4.400000e+00 -3.044187e+00 7.799209e-02
4.480000e+00 -3.112588e+00 7.798324e-02
4.560000e+00 -3.181620e+00 7.796349e-02
4.640000e+00 -3.251410e+00 7.793471e-02
4.720000e+00 -3.322505e+00 7.790067e-02
4.800000e+00 -3.394189e+00 7.786189e-02
4.880000e+00 -3.462282e+00 7.777216e-02
4.960000e+00 -3.531592e+00 7.769302e-02
5.040000e+00 -3.600769e+00 7.761379e-02
5.120000e+00 -3.669659e+00 7.753603e-02
5.200000e+00 -3.738547e+00 7.746232e-02
5.280000e+00 -3.807037e+00 7.739439e-02
5.360000e+00 -3.875126e+00 7.733311e-02
5.440000e+00 -3.944986e+00 7.726604e-02
5.520000e+00 -4.014109e+00 7.720851e-02
5.600000e+00 -4.082845e+00 7.716009e-02
5.680000e+00 -4.151348e+00 7.711846e-02
5.760000e+00 -4.217759e+00 7.708830e-02
5.840000e+00 -4.284598e+00 7.706381e-02
5.920000e+00 -4.351187e+00 7.704126e-02
6.000000e+00 -4.416932e+00 7.701977e-02
6.080000e+00 -4.480846e+00 7.699762e-02
6.160000e+00 -4.543924e+00 7.697701e-02
6.240000e+00 -4.605926e+00 7.695742e-02
6.320000e+00 -4.666776e+00 7.693865e-02
6.400000e+00 -4.726469e+00 7.692052e-02
6.480000e+00 -4.785230e+00 7.690277e-02
6.560000e+00 -4.842587e+00 7.688592e-02
6.640000e+00 -4.896581e+00 7.685828e-02
6.720000e+00 -4.948030e+00 7.683395e-02
6.800000e+00 -4.997681e+00 7.681177e-02
6.880000e+00 -5.045437e+00 7.679075e-02
6.960000e+00 -5.091231e+00 7.676973e-02
7.040000e+00 -5.134979e+00 7.674782e-02
7.120000e+00 -5.176530e+00 7.672438e-02
7.200000e+00 -5.214078e+00 7.670854e-02
7.280000e+00 -5.249606e+00 7.668965e-02
7.360000e+00 -5.282476e+00 7.666565e-02
7.440000e+00 -5.310188e+00 7.661652e-02
7.520000e+00 -5.335087e+00 7.656438e-02
7.600000e+00 -5.356708e+00 7.651318e-02
7.680000e+00 -5.375036e+00 7.646195e-02
7.760000e+00 -5.389979e+00 7.640929e-02
7.840000e+00 -5.401421e+00 7.635398e-02
7.920000e+00 -5.409821e+00 7.629646e-02
8.000000e+00 -5.414909e+00 7.623562e-02
8.080000e+00 -5.415981e+00 7.617147e-02
8.160000e+00 -5.413026e+00 7.610307e-02
8.240000e+00 -5.405894e+00 7.603039e-02
8.320000e+00 -5.394580e+00 7.595361e-02
8.400000e+00 -5.378775e+00 7.587290e-02
8.480000e+00 -5.358334e+00 7.578872e-02
8.560000e+00 -5.337468e+00 7.573862e-02
8.640000e+00 -5.311498e+00 7.568049e-02
8.720000e+00 -5.280803e+00 7.561517e-02
8.800000e+00 -5.242972e+00 7.556293e-02
8.880000e+00 -5.199933e+00 7.550690e-02
8.960000e+00 -5.151476e+00 7.544222e-02
9.040000e+00 -5.097768e+00 7.537019e-02
9.120000e+00 -5.040548e+00 7.528579e-02
9.200000e+00 -4.976635e+00 7.520025e-02
9.280000e+00 -4.908425e+00 7.510989e-02
9.360000e+00 -4.835866e+00 7.502077e-02
9.440000e+00 -4.757306e+00 7.494243e-02
9.520000e+00 -4.672625e+00 7.487622e-02
9.600000e+00 -4.582136e+00 7.482264e-02
9.680000e+00 -4.485832e+00 7.478298e-02
9.760000e+00 -4.383712e+00 7.475911e-02
9.840000e+00 -4.277052e+00 7.475010e-02
9.920000e+00 -4.164393e+00 7.476077e-02
1.000000e+01 -4.042906e+00 7.482375e-02
1.008000e+01 -3.915235e+00 7.491267e-02
1.016000e+01 -3.781128e+00 7.502159e-02
1.024000e+01 -3.641025e+00 7.515102e-02
1.032000e+01 -3.495096e+00 7.529214e-02
1.040000e+01 -3.343360e+00 7.546195e-02
1.048000e+01 -3.184599e+00 7.566761e-02
1.056000e+01 -3.021096e+00 7.590780e-02
1.064000e+01 -2.851869e+00 7.618863e-02
1.072000e+01 -2.677299e+00 7.650902e-02
1.080000e+01 -2.497561e+00 7.686975e-02
1.088000e+01 -2.312214e+00 7.727273e-02
1.096000e+01 -2.122048e+00 7.771878e-02
1.104000e+01 -1.927127e+00 7.820788e-02
1.112000e+01 -1.726945e+00 7.874256e-02
1.120000e+01 -1.522338e+00 7.932107e-02
1.128000e+01 -1.313145e+00 7.994527e-02
1.136000e+01 -1.105392e+00 8.056141e-02
1.144000e+01 -8.904190e-01 8.122046e-02
1.152000e+01 -6.726288e-01 8.192958e-02
1.160000e+01 -4.515009e-01 8.268803e-02
