# Time C0_Drag C0_Lift
8.000000e-02 9.818871e-05 8.080628e-21
1.600000e-01 1.542143e-01 1.221071e-07
2.400000e-01 5.625665e-01 3.047813e-05
3.200000e-01 1.127062e+00 2.978815e-04
4.000000e-01 1.766400e+00 7.812781e-04
4.800000e-01 2.410031e+00 1.093311e-03
5.600000e-01 2.996762e+00 -2.897609e-03
6.400000e-01 3.472290e+00 3.253036e-04
7.200000e-01 3.789128e+00 -8.684566e-03
8.000000e-01 3.911143e+00 1.296745e-02
8.800000e-01 3.819624e+00 1.693316e-02
9.600000e-01 3.520175e+00 1.072211e-02
1.040000e+00 3.033721e+00 1.054877e-03
1.120000e+00 2.428728e+00 4.513384e-03
1.200000e+00 1.967272e+00 2.479972e-02
1.280000e+00 1.655609e+00 3.783514e-02
1.360000e+00 1.450878e+00 3.623612e-02
1.440000e+00 1.318538e+00 4.250054e-02
1.520000e+00 1.236747e+00 6.139924e-02
1.600000e+00 1.191330e+00 7.200660e-02
1.680000e+00 1.167449e+00 7.888082e-02
1.760000e+00 1.156953e+00 8.507182e-02
1.840000e+00 1.154913e+00 8.544139e-02
1.920000e+00 1.157734e+00 8.894186e-02
2.000000e+00 1.162117e+00 9.945708e-02
2.080000e+00 1.167102e+00 1.055422e-01
2.160000e+00 1.171044e+00 1.100598e-01
2.240000e+00 1.174801e+00 1.131614e-01
2.320000e+00 1.176519e+00 1.161293e-01
2.400000e+00 1.176112e+00 1.187674e-01
2.480000e+00 1.173764e+00 1.210178e-01
2.560000e+00 1.169834e+00 1.275190e-01
2.640000e+00 1.164690e+00 1.317978e-01
2.720000e+00 1.158463e+00 1.349201e-01
2.800000e+00 1.151409e+00 1.375353e-01
2.880000e+00 1.143772e+00 1.396313e-01
2.960000e+00 1.135777e+00 1.410678e-01
3.040000e+00 1.127684e+00 1.374886e-01
3.120000e+00 1.119599e+00 1.400150e-01
3.200000e+00 1.111047e+00 1.453049e-01
3.280000e+00 1.102592e+00 1.473040e-01
3.360000e+00 1.094545e+00 1.485720e-01
3.440000e+00 1.086921e+00 1.493123e-01
3.520000e+00 1.079714e+00 1.496044e-01
3.600000e+00 1.072903e+00 1.495004e-01
3.680000e+00 1.066465e+00 1.490307e-01
3.760000e+00 1.060377e+00 1.482263e-01
3.840000e+00 1.054610e+00 1.471157e-01
3.920000e+00 1.049137e+00 1.457232e-01
4.000000e+00 1.043932e+00 1.440762e-01
4.080000e+00 1.038971e+00 1.421999e-01
4.160000e+00 1.034225e+00 1.401247e-01
4.240000e+00 1.029677e+00 1.378727e-01
4.320000e+00 1.025304e+00 1.354750e-01
4.400000e+00 1.021092e+00 1.329580e-01
4.480000e+00 1.017023e+00 1.303488e-01
4.560000e+00 1.013087e+00 1.276803e-01
4.640000e+00 1.009273e+00 1.249837e-01
4.720000e+00 1.005572e+00 1.222894e-01
4.800000e+00 1.001977e+00 1.196292e-01
4.880000e+00 9.984812e-01 1.170348e-01
4.960000e+00 9.950797e-01 1.145364e-01
5.040000e+00 9.917702e-01 1.121679e-01
5.120000e+00 9.885479e-01 1.099604e-01
5.200000e+00 9.854109e-01 1.079450e-01
5.280000e+00 9.824377e-01 1.046110e-01
5.360000e+00 9.798336e-01 1.026269e-01
5.440000e+00 9.772051e-01 1.009372e-01
5.520000e+00 9.745652e-01 9.956456e-02
5.600000e+00 9.719291e-01 9.852869e-02
5.680000e+00 9.692099e-01 9.413007e-02
5.760000e+00 9.662021e-01 9.214260e-02
5.840000e+00 9.633407e-01 9.073283e-02
5.920000e+00 9.606180e-01 8.983241e-02
6.000000e+00 9.580171e-01 8.943025e-02
6.080000e+00 9.555203e-01 8.952527e-02
6.160000e+00 9.531111e-01 9.012606e-02
6.240000e+00 9.507773e-01 9.124377e-02
6.320000e+00 9.485083e-01 9.288868e-02
6.400000e+00 9.462963e-01 9.507014e-02
6.480000e+00 9.441340e-01 9.779780e-02
6.560000e+00 9.420145e-01 1.010779e-01
6.640000e+00 9.399342e-01 1.049120e-01
6.720000e+00 9.378883e-01 1.093086e-01
6.800000e+00 9.358729e-01 1.142621e-01
6.880000e+00 9.338845e-01 1.197717e-01
6.960000e+00 9.319220e-01 1.258283e-01
7.040000e+00 9.299824e-01 1.324236e-01
7.120000e+00 9.280638e-01 1.395451e-01
7.200000e+00 9.261643e-01 1.471781e-01
7.280000e+00 9.242821e-01 1.553037e-01
7.360000e+00 9.224165e-01 1.638995e-01
7.440000e+00 9.205665e-01 1.729415e-01
7.520000e+00 9.187321e-01 1.824009e-01
7.600000e+00 9.169104e-01 1.922477e-01
7.680000e+00 9.150569e-01 2.033334e-01
7.760000e+00 9.130510e-01 2.142934e-01
7.840000e+00 9.110812e-01 2.254746e-01
7.920000e+00 9.091706e-01 2.368810e-01
8.000000e+00 9.073175e-01 2.484801e-01
8.080000e+00 9.055166e-01 2.602288e-01
8.160000e+00 9.037595e-01 2.720749e-01
8.240000e+00 9.020417e-01 2.839723e-01
8.320000e+00 9.003595e-01 2.958634e-01
8.400000e+00 8.987118e-01 3.076933e-01
8.480000e+00 8.971213e-01 3.176994e-01
8.560000e+00 8.956159e-01 3.280648e-01
8.640000e+00 8.941350e-01 3.383029e-01
8.720000e+00 8.926751e-01 3.482641e-01
8.800000e+00 8.912406e-01 3.578540e-01
8.880000e+00 8.898369e-01 3.669946e-01
8.960000e+00 8.884689e-01 3.756135e-01
9.040000e+00 8.871398e-01 3.836466e-01
9.120000e+00 8.858513e-01 3.910321e-01
9.200000e+00 8.846068e-01 3.977044e-01
9.280000e+00 8.831180e-01 4.125064e-01
9.360000e+00 8.813089e-01 4.235398e-01
9.440000e+00 8.794953e-01 4.334844e-01
9.520000e+00 8.777052e-01 4.426142e-01
9.600000e+00 8.759419e-01 4.509283e-01
9.680000e+00 8.742167e-01 4.583963e-01
9.760000e+00 8.725510e-01 4.649770e-01
9.840000e+00 8.709685e-01 4.706269e-01
9.920000e+00 8.694903e-01 4.753014e-01
1.000000e+01 8.681321e-01 4.789545e-01
1.008000e+01 8.669530e-01 4.805187e-01
1.016000e+01 8.660789e-01 4.816878e-01
1.024000e+01 8.652596e-01 4.817065e-01
1.032000e+01 8.643661e-01 4.878068e-01
1.040000e+01 8.636126e-01 4.912830e-01
1.048000e+01 8.629179e-01 4.932617e-01
1.056000e+01 8.622346e-01 4.938603e-01
1.064000e+01 8.615430e-01 4.930903e-01
1.072000e+01 8.608430e-01 4.909751e-01
1.080000e+01 8.601413e-01 4.875475e-01
1.088000e+01 8.594471e-01 4.828358e-01
1.096000e+01 8.587708e-01 4.768677e-01
1.104000e+01 8.581217e-01 4.696690e-01
1.112000e+01 8.575072e-01 4.612598e-01
1.120000e+01 8.569340e-01 4.516631e-01
1.128000e+01 8.564070e-01 4.409009e-01
1.136000e+01 8.559299e-01 4.289988e-01
1.144000e+01 8.555051e-01 4.159850e-01
1.152000e+01 8.555025e-01 3.953154e-01
1.160000e+01 8.570965e-01 3.782909e-01
1.168000e+01 8.585280e-01 3.601897e-01
1.176000e+01 8.596919e-01 3.409370e-01
1.184000e+01 8.606005e-01 3.205956e-01
1.192000e+01 8.612981e-01 2.992674e-01
1.200000e+01 8.618404e-01 2.770641e-01
1.208000e+01 8.622780e-01 2.540948e-01
1.216000e+01 8.626525e-01 2.304705e-01
1.224000e+01 8.630017e-01 2.062967e-01
1.232000e+01 8.633537e-01 1.816832e-01
1.240000e+01 8.637307e-01 1.567381e-01
1.248000e+01 8.641554e-01 1.315752e-01
1.256000e+01 8.646420e-01 1.063119e-01
1.264000e+01 8.652038e-01 8.107024e-02
1.272000e+01 8.658530e-01 5.598058e-02
1.280000e+01 8.666029e-01 3.117068e-02
1.288000e+01 8.674608e-01 6.779504e-03
1.296000e+01 8.684370e-01 -1.706002e-02
1.304000e+01 8.693074e-01 -4.732272e-02
1.312000e+01 8.700938e-01 -7.900641e-02
1.320000e+01 8.711095e-01 -1.053087e-01
1.328000e+01 8.722710e-01 -1.326220e-01
1.336000e+01 8.736959e-01 -1.589576e-01
1.344000e+01 8.756590e-01 -1.938331e-01
1.352000e+01 8.782439e-01 -2.228353e-01
