# Time C0_Drag C0_Lift C1_Drag C1_Lift C2_Drag C2_Lift C3_Drag C3_Lift C4_Drag C4_Lift C5_Drag C5_Lift
8.000000e-02 9.818871e-05 -1.200444e-20 9.818871e-05 -5.446356e-21 9.818871e-05 -4.971091e-21 9.818871e-05 -1.198247e-20 9.818871e-05 8.369678e-21 9.818871e-05 -5.286743e-21
1.600000e-01 1.542151e-01 1.317159e-07 1.542138e-01 7.254111e-07 1.542140e-01 -6.381616e-07 1.542149e-01 2.705994e-07 1.542138e-01 4.370882e-07 1.542138e-01 -1.101049e-06
2.400000e-01 5.642485e-01 2.803929e-05 5.617443e-01 1.196870e-03 5.619958e-01 -1.242953e-03 5.639911e-01 2.803364e-05 5.620601e-01 1.236734e-03 5.618087e-01 -1.205385e-03
3.200000e-01 1.134365e+00 1.472580e-04 1.123561e+00 5.281609e-03 1.124639e+00 -4.974105e-03 1.133142e+00 1.120207e-04 1.124864e+00 5.100408e-03 1.123750e+00 -4.934103e-03
4.000000e-01 1.783660e+00 9.054758e-04 1.758182e+00 1.296342e-02 1.760821e+00 -1.087467e-02 1.780488e+00 5.708553e-04 1.761170e+00 1.162518e-02 1.758291e+00 -1.149662e-02
4.800000e-01 2.439747e+00 1.287700e-03 2.394972e+00 2.569594e-02 2.399731e+00 -1.616300e-02 2.433925e+00 4.073917e-04 2.400442e+00 1.933455e-02 2.394602e+00 -2.290794e-02
5.600000e-01 3.038542e+00 7.559588e-03 2.972569e+00 3.968792e-02 2.979526e+00 -1.774855e-02 3.029212e+00 1.573777e-03 2.981034e+00 2.207146e-02 2.970724e+00 -4.127051e-02
6.400000e-01 3.525082e+00 1.261371e-02 3.439185e+00 5.622941e-02 3.449740e+00 -1.400938e-02 3.512770e+00 1.653488e-02 3.445261e+00 2.143404e-02 3.433329e+00 -5.825981e-02
7.200000e-01 3.852526e+00 2.020073e-02 3.747824e+00 7.487441e-02 3.759730e+00 -1.396267e-02 3.839665e+00 2.131846e-02 3.753350e+00 1.832461e-02 3.739773e+00 -6.366453e-02
8.000000e-01 3.978153e+00 2.768689e-02 3.865826e+00 1.021920e-01 3.872817e+00 3.755273e-03 3.974104e+00 2.070495e-02 3.863460e+00 2.819713e-02 3.850653e+00 -7.542384e-02
8.800000e-01 3.884526e+00 8.228828e-03 3.767211e+00 1.055263e-01 3.765605e+00 2.249800e-02 3.890299e+00 1.504256e-02 3.758863e+00 5.943108e-03 3.761397e+00 -8.919035e-02
9.600000e-01 3.569719e+00 4.102130e-02 3.478848e+00 1.087048e-01 3.451209e+00 5.147675e-02 3.597227e+00 2.695517e-02 3.440171e+00 1.144026e-03 3.454893e+00 -1.058009e-01
1.040000e+00 3.064042e+00 4.965371e-02 2.998626e+00 1.073871e-01 2.943136e+00 4.852846e-02 3.118797e+00 9.015698e-03 2.942008e+00 -3.789752e-02 2.975722e+00 -7.114185e-02
1.120000e+00 2.448884e+00 5.469628e-02 2.413234e+00 6.390859e-02 2.323657e+00 5.643102e-02 2.538822e+00 5.452866e-03 2.323325e+00 -2.857354e-02 2.394822e+00 -3.851920e-02
1.200000e+00 1.973956e+00 6.345499e-02 1.975785e+00 4.805110e-02 1.846844e+00 3.079358e-02 2.110463e+00 1.038560e-02 1.852554e+00 -2.435161e-02 1.962452e+00 -2.865441e-02
1.280000e+00 1.651517e+00 5.741192e-02 1.685584e+00 2.920829e-02 1.525810e+00 5.714959e-03 1.829191e+00 1.485882e-02 1.531117e+00 -3.727851e-03 1.677437e+00 -1.640773e-02
1.360000e+00 1.436824e+00 4.003048e-02 1.492163e+00 2.554456e-02 1.314779e+00 6.349950e-03 1.642571e+00 9.502172e-03 1.320411e+00 1.388889e-02 1.496414e+00 -1.246875e-02
1.440000e+00 1.300243e+00 1.530580e-02 1.363275e+00 2.424538e-02 1.177533e+00 2.238580e-03 1.519989e+00 -3.846339e-03 1.189718e+00 1.948947e-02 1.384300e+00 -3.769498e-03
1.520000e+00 1.219886e+00 -4.159603e-03 1.281736e+00 1.435587e-02 1.092936e+00 9.102393e-03 1.440571e+00 -2.103657e-02 1.112105e+00 2.718448e-02 1.314305e+00 4.370055e-03
1.600000e+00 1.173512e+00 -2.676443e-02 1.229354e+00 2.631670e-02 1.044280e+00 1.040276e-02 1.389755e+00 -4.284367e-02 1.069395e+00 2.669982e-02 1.270653e+00 1.321726e-02
1.680000e+00 1.153127e+00 -3.924848e-02 1.199231e+00 2.705705e-02 1.019919e+00 8.116832e-03 1.363041e+00 -6.213457e-02 1.053038e+00 3.499997e-02 1.242701e+00 1.864640e-02
